id,topic,review,owner_and_acceptance,status,evidence
RUI-C01,Decision path,"Activate food/population readouts; inspect the matching ledger/roster, return and recover focus. If its store/route is unavailable, use the specified compact reason and keep live acceptance blocked",UI-SET-002/006/009/069; UXV-004/016/030; A03/A09,NOT_RUN,
RUI-C02,Quantities,"Compare the same committed resource in overview and detail. Verify units, available versus reserved, ready versus potential food and missing versus zero. A value may differ only through its declared aggregation/formatter",UI-SET-002–009; UXV-016/029/031; A09/A16,NOT_RUN,
RUI-C03,Need explanation,"Inspect a live need; percent, direction, per-hour unit and explanation match its owner. Unknown modifiers/rates are unavailable, never neutral or fabricated",UI-SET-039; UXV-020–022; A12,NOT_RUN,
RUI-C04,Alert recovery,Group same-code residents and update count/last-seen for repeated same-code/source notices without replaying the chime. Activate the real destination; acknowledgment never resolves the condition or removes its required unresolved badge/count; revalidate stale sources,UI §7; UI-SET-010–012/085; UXV-018/028; A11; UX-T09,NOT_RUN,
RUI-C05,Understandable actions,"The same icon/label denotes the same intent. People opens residents, not access mode. A momentary Create/Confirm action never presents a persistent selected check as if it were a toggle",UI-SET-031/069/087/103; UXV-004/010/012/025; A03/A04/A13,NOT_RUN,
RUI-C06,Context and focus,"Inspect, then center a resident; change workspace; close it. No command is sent by inspecting, no stale children remain, and focus returns as specified",UXV-004/005/023/029/033; A03/A05/A12/A16,NOT_RUN,
RUI-C07,Tooltip access,"Test350ms pointer / immediate keyboard descriptions, viewport clamping, and readable disabled reasons. Tooltip073 remains noninteractive; longer explanations use the owned detail surface",UI-SET-073; UI §2.2; UXV-030/034; A05/A17,NOT_RUN,
RUI-C08,Shortcut parity,"For each enabled scoped action, compare UI and current binding; edit a name while pressing gameplay keys. No game command leaks from fields, and no hard-coded foreign binding appears",UI §5; UXV-029/033; A05/A16,NOT_RUN,
RUI-C09,Busy background,"Inspect actual summer/bright ground and darker scenes, open/closed detail, narrow drawer and long names. Functional text uses its prescribed solid surface; ornaments/markers never obscure controls",UXV-008/011/013–015/032; A04/A06–08,NOT_RUN,
RUI-C10,Honest command feedback,Exercise paused draft→queued→commit/refusal/cancel with actual IDs. A successful input gesture is not successful simulation work; preserve requested speed and all other pause holds,UXV-017/026/027/029; A10/A14–16,NOT_RUN,
RUI-C11,Learn from observation,"Have a person attempt the journeys below without coaching; log errors, assistance and their interpretation. Fix observed failures and keep personal aesthetic verdict separate",UXV-037/040/042; A20/A22/A23,NOT_RUN,
