family,id,source,source_line,summary,primary_task,supporting_tasks,evidence_status
REQ-SET,REQ-SET-001,docs/game_gdd.md,219,"The system shall implement all catalogs, formulas, typed schemas, capacities, and precedence rules in this document as the release 1 ruleset; changed values shall increment the ruleset version.",task04,task09,NOT_ASSESSED
REQ-SET,REQ-SET-002,docs/game_gdd.md,220,"The system shall run authoritative logic at 30 ticks/second of 1× simulation time, using integer arithmetic and the deterministic command/RNG boundaries of the crowd architecture.",task04,task09,NOT_ASSESSED
REQ-SET,REQ-SET-003,docs/game_gdd.md,221,"When game speed is 2× or 4×, the system shall execute two or four times as many fixed ticks per real second without changing per-tick rules.",task04,,NOT_ASSESSED
REQ-SET,REQ-SET-004,docs/game_gdd.md,222,"While paused, the system shall freeze needs, jobs, weather, spoilage, animation phase, and event deadlines while allowing camera, selection, planning, and UI interaction.",task04,task03;task07;task10,NOT_ASSESSED
REQ-SET,REQ-SET-005,docs/game_gdd.md,223,"When an editable command is issued while paused, the system shall append it to the next-tick ordered command queue and render a pending preview without applying gameplay consequences early.",task04,task10,NOT_ASSESSED
REQ-SET,REQ-SET-006,docs/game_gdd.md,224,"The system shall define one day as 18000 ticks, one hour as 750 ticks, one season as 12 days, and one year as 48 days, starting at year 1/spring/day 1/06:00.",task04,task07,NOT_ASSESSED
REQ-SET,REQ-SET-007,docs/game_gdd.md,225,"When a daily boundary occurs at 00:00, the system shall age stocks, update ecology, advance crops/weather, process immigration/departures, then evaluate progression in that order.",task04,task03;task07;task08,NOT_ASSESSED
REQ-SET,REQ-SET-008,docs/game_gdd.md,226,"If the scheduler accumulates more than 0.25 real seconds of backlog at its current speed, then the system shall reduce 4× to 2× or 2× to 1× and display an overload warning; at 1× it shall pause with a diagnostic rather than skip ticks.",task10,task04;task09,NOT_ASSESSED
REQ-SET,REQ-SET-009,docs/game_gdd.md,227,The system shall generate the initial settlement and resource distribution from the fixed initialization contract below.,task04,,NOT_ASSESSED
REQ-SET,REQ-SET-010,docs/game_gdd.md,228,"Where sandbox mode is selected, the system shall use the same survival rules and permit continued play after Charter victory, with no forced objective deadline.",task08,,NOT_ASSESSED
REQ-SET,REQ-SET-011,docs/game_gdd.md,279,"The system shall update needs using the hourly rates, size factors, and remainder rule above, independent of visibility and game speed.",task08,task04,NOT_ASSESSED
REQ-SET,REQ-SET-012,docs/game_gdd.md,280,"When hunger reaches 3500 or lower and the resident can interrupt safely, the system shall reserve a permitted meal and start a 12-WU eating task before ordinary work.",task07,task05;task08,NOT_ASSESSED
REQ-SET,REQ-SET-013,docs/game_gdd.md,281,"If no prepared meal is reachable, then the system shall allow raw-edible nonreserved food when hunger≤1500, selecting enough quantity to add at most 3000 NP and never consuming seed items.",task07,task03;task05,NOT_ASSESSED
REQ-SET,REQ-SET-014,docs/game_gdd.md,282,"While hunger is 0, the system shall remove 4 health/hour and add one starving-hour counter/hour; available food shall remain the highest nonrescue job priority.",task07,task04;task08,NOT_ASSESSED
REQ-SET,REQ-SET-015,docs/game_gdd.md,283,"While rest≤500, the system shall cancel ordinary work, place the resident in floor sleep, and prevent hazardous work until rest≥4000.",task07,task05;task08,NOT_ASSESSED
REQ-SET,REQ-SET-016,docs/game_gdd.md,284,"When health reaches 0, the system shall record death, release all job/bed/input reservations, preserve the identity in the chronicle, and create a burial job and recoverable carried inventory.",task08,task04;task05;task06;task07,NOT_ASSESSED
REQ-SET,REQ-SET-017,docs/game_gdd.md,285,"While health<100 and hunger/rest≥4000 and no untreated serious injury exists, the system shall restore 2 health/hour, increased to 4/hour in an infirmary.",task08,task07,NOT_ASSESSED
REQ-SET,REQ-SET-018,docs/game_gdd.md,286,"If a resident is outdoors or in an unheated room below 0°C without tier 2 clothing, then the system shall add 1 cold exposure/hour; after 4 exposure hours it shall remove 3 health/hour until sheltered or properly clothed.",task07,task06;task08,NOT_ASSESSED
REQ-SET,REQ-SET-019,docs/game_gdd.md,287,"When a resident enters a heated room, the system shall reduce accumulated cold exposure by 2/hour and stop exposure damage immediately.",task07,task06;task08,NOT_ASSESSED
REQ-SET,REQ-SET-020,docs/game_gdd.md,288,"The system shall compute mood as the weighted need average plus active memories using the formula below and shall apply its productivity, conflict, and departure consequences.",task08,,NOT_ASSESSED
REQ-SET,REQ-SET-021,docs/game_gdd.md,289,"When mood remains below 2000 across two consecutive midnights, the system shall issue an intention-to-leave warning; after a third midnight below 2000 it shall mark departure unless the resident is incapacitated.",task08,task10,NOT_ASSESSED
REQ-SET,REQ-SET-022,docs/game_gdd.md,290,"When a warned resident's mood reaches 3500, the system shall clear the departure counter and warning.",task08,task05;task10,NOT_ASSESSED
REQ-SET,REQ-SET-023,docs/game_gdd.md,291,"While a resident is incapacitated, the system shall block departure and create a rescue/care job instead of letting the resident vanish.",task08,task04,NOT_ASSESSED
REQ-SET,REQ-SET-024,docs/game_gdd.md,292,"When a departure completes at the map exit, the system shall remove that resident from population, release their home/tool, and retain relationships and chronicle history under their persistent ID.",task08,task06;task09,NOT_ASSESSED
REQ-SET,REQ-SET-025,docs/game_gdd.md,310,"The system shall retain twelve XP columns but track/award XP only for the eleven active skill/job kinds, with RESERVED_3 permanently zero, and award XP only for productive work that consumes or advances a valid job.",task04,,NOT_ASSESSED
REQ-SET,REQ-SET-026,docs/game_gdd.md,311,"When a player changes a job priority, the system shall accept 0=forbidden,1=highest,2=high,3=normal,4=low and apply the change at the next job-selection boundary.",task04,,NOT_ASSESSED
REQ-SET,REQ-SET-027,docs/game_gdd.md,312,The system shall select jobs in the exact eligibility and ordering sequence defined below.,task04,,NOT_ASSESSED
REQ-SET,REQ-SET-028,docs/game_gdd.md,313,"If no permitted job is available and automatic fallback is enabled, then the system shall allow HAUL, KEEP, and low-risk FORAGE at priority 4 only when their configured priority is nonzero.",task04,task03;task06,NOT_ASSESSED
REQ-SET,REQ-SET-029,docs/game_gdd.md,314,"While automatic fallback is disabled, the system shall leave a resident free to meet needs rather than invent a forbidden occupation.",task04,task08,NOT_ASSESSED
REQ-SET,REQ-SET-030,docs/game_gdd.md,315,"When a job is accepted, the system shall atomically reserve its worker, complete input quantities, output capacity, and destination work slot before movement begins.",task04,task05;task06,NOT_ASSESSED
REQ-SET,REQ-SET-031,docs/game_gdd.md,316,"If a reservation cannot be obtained, then the system shall keep the job queued with the exact blocking cause and shall not partially lock unrelated ingredients.",task04,task06,NOT_ASSESSED
REQ-SET,REQ-SET-032,docs/game_gdd.md,317,"While a resident is traveling to work, the system shall renew reservation leases every 30 ticks and release them if no owner renewal occurs for 300 ticks.",task05,task04;task06;task08,NOT_ASSESSED
REQ-SET,REQ-SET-033,docs/game_gdd.md,318,"If a destination remains unreachable for 300 ticks, then the system shall mark the job blocked, release reservations, and retry after 900 ticks or a navigation revision, whichever comes first.",task05,task04;task06,NOT_ASSESSED
REQ-SET,REQ-SET-034,docs/game_gdd.md,319,"When a schedule changes, the system shall finish at most the current 30-WU safe work segment before changing activity; emergencies shall interrupt immediately.",task04,,NOT_ASSESSED
REQ-SET,REQ-SET-035,docs/game_gdd.md,320,"When a resident completes 60 WU of social activity with another resident, the system shall add 2 affinity to their relationship, capped at one such gain/pair/day.",task08,,NOT_ASSESSED
REQ-SET,REQ-SET-036,docs/game_gdd.md,321,"When two residents share a feast or one completes rescue/care for the other, the system shall add 5 or 8 affinity respectively, at most once per event.",task08,,NOT_ASSESSED
REQ-SET,REQ-SET-037,docs/game_gdd.md,322,"When affinity reaches 40, the system shall mark the pair friends; when it falls below 25, it shall clear friendship.",task08,task05,NOT_ASSESSED
REQ-SET,REQ-SET-038,docs/game_gdd.md,323,"If two residents sharing a social room both have mood<2500 and affinity<0 at 18:00, then the system shall perform one daily pair conflict roll and resolve the lowest-ID passing pair per room.",task08,task06,NOT_ASSESSED
REQ-SET,REQ-SET-039,docs/game_gdd.md,324,"When a conflict occurs, the system shall subtract 12 affinity, apply conflict memories, and remove 30 WU of social time without combat, weapon use, or physical damage.",task08,task04,NOT_ASSESSED
REQ-SET,REQ-SET-040,docs/game_gdd.md,325,"When a resident satisfies a naming trigger below, the system shall mark them notable and assign a stable name without changing skills, needs, labor, or resource consumption.",task08,,NOT_ASSESSED
REQ-SET,REQ-SET-041,docs/game_gdd.md,326,"Where a resident is anonymous, the system shall retain full persistent state and display species plus role and ID rather than a personal name.",task08,task09;task10,NOT_ASSESSED
REQ-SET,REQ-SET-042,docs/game_gdd.md,327,"When the player pins a resident, the system shall promote that resident to named/notable status immediately on the committed tick and allow a 2–32-character alias.",task08,task04,NOT_ASSESSED
REQ-SET,REQ-SET-043,docs/game_gdd.md,375,The system shall maintain fishing stocks and seasonal eligibility independently for every habitat/species pair using the table above.,task03,task07,NOT_ASSESSED
REQ-SET,REQ-SET-044,docs/game_gdd.md,376,"When a fishing cycle starts, the system shall reserve its effort slots, gear durability, expected haul capacity, and legal stock allowance.",task03,task06,NOT_ASSESSED
REQ-SET,REQ-SET-045,docs/game_gdd.md,377,"When a cycle completes, the system shall debit actual captured biomass atomically, create corresponding fish lots, apply wear, and release unused quota reservations.",task03,task06,NOT_ASSESSED
REQ-SET,REQ-SET-046,docs/game_gdd.md,378,"If a species closes before a queued job starts, then the system shall block that job with the reopening day and select a legal fallback species only when auto mode is enabled.",task03,task04,NOT_ASSESSED
REQ-SET,REQ-SET-047,docs/game_gdd.md,379,"While a spawning closure is active, the system shall prohibit intensive-harvest override for the closed species.",task03,,NOT_ASSESSED
REQ-SET,REQ-SET-048,docs/game_gdd.md,380,"When fishing stock falls below 30% capacity, the system shall warn of depletion and default to restocking until stock recovers above 40%.",task03,task06,NOT_ASSESSED
REQ-SET,REQ-SET-049,docs/game_gdd.md,381,"When the player enables intensive harvest, the system shall show the 10% hard stock floor and predicted recovery time before accepting that policy.",task03,task04;task10,NOT_ASSESSED
REQ-SET,REQ-SET-050,docs/game_gdd.md,382,"While a habitat's effort slots are occupied, the system shall queue further fishers rather than multiply yield with unbounded workers.",task03,task04;task06,NOT_ASSESSED
REQ-SET,REQ-SET-051,docs/game_gdd.md,383,"Where winter ice covers a lake, the system shall permit only equipped ice-kit crews or a maintained ice-access station, while river/coast access remains weather-dependent.",task03,task06;task07;task10,NOT_ASSESSED
REQ-SET,REQ-SET-052,docs/game_gdd.md,384,"If a boat faces a storm or an unstaffed required crew slot, then the system shall prevent departure and preserve its queued order.",task03,task04;task06;task07;task08;task10,NOT_ASSESSED
REQ-SET,REQ-SET-053,docs/game_gdd.md,385,"When a fishing expedition resolves, the system shall perform its one declared hazard roll and apply the injury/rescue rules below without tactical combat.",task03,task08,NOT_ASSESSED
REQ-SET,REQ-SET-054,docs/game_gdd.md,386,"If a fisher is incapacitated, then the system shall create a rescue job at the expedition's bank landing point and retain cargo there rather than silently deleting the resident.",task03,task04;task05;task08,NOT_ASSESSED
REQ-SET,REQ-SET-055,docs/game_gdd.md,387,"The system shall display stock, quota, expected catch, gear condition, closure dates, and numerical injury risk before hazardous fishing is authorized.",task03,task06;task08;task10,NOT_ASSESSED
REQ-SET,REQ-SET-056,docs/game_gdd.md,388,The system shall classify territorial eel encounters as nonharvestable sapient encounters and pike attacks as wildlife hazards; neither shall become an edible resident species.,task03,task08,NOT_ASSESSED
REQ-SET,REQ-SET-057,docs/game_gdd.md,410,"The system shall reject sapient food stocks, species classified as both residents and food, and mammal/bird harvest sources.",task03,task07;task08,NOT_ASSESSED
REQ-SET,REQ-SET-058,docs/game_gdd.md,411,"When catalog definitions are compiled, the system shall restrict edible aquatic stocks to the exact nine-key whitelist and reject contradictory sapience classifications.",task03,,NOT_ASSESSED
REQ-SET,REQ-SET-059,docs/game_gdd.md,412,"While rules v2 is active, the system shall keep FaunaStockReserved canonical empty and create no huntable herd proxy, carcass or hide output.",task03,,NOT_ASSESSED
REQ-SET,REQ-SET-060,docs/game_gdd.md,413,"If a command requests RESERVED_3 work or a RESERVED_1 zone, then the system shall reject it before allocating a job or changing the world.",task04,,NOT_ASSESSED
REQ-SET,REQ-SET-061,docs/game_gdd.md,414,"When skills are initialized, displayed, assigned or tested for milestones, the system shall keep reserved index 3 zero and exclude it from active skills.",task04,task08;task10,NOT_ASSESSED
REQ-SET,REQ-SET-062,docs/game_gdd.md,415,"If a recipe, scenario or save references a retired content key, then the validator shall reject it rather than substituting a resource.",task04,task07;task09,NOT_ASSESSED
REQ-SET,REQ-SET-063,docs/game_gdd.md,416,"When recipe catalogs are compiled, the system shall use nut_roast in place of game_roast with the exact SET-AMEND-001 Section 4 inputs and inherited output rules.",task07,,NOT_ASSESSED
REQ-SET,REQ-SET-064,docs/game_gdd.md,417,"When an Orchard feast is prepared, the system shall reserve ceil(E/4) nut_roast batches for its main course and retain all other feast rules.",task08,task03,NOT_ASSESSED
REQ-SET,REQ-SET-065,docs/game_gdd.md,418,"When old hunting RNG or stock slots are retained for schema stability, the system shall keep them inactive and reject noncanonical saved data.",task03,task06;task09,NOT_ASSESSED
REQ-SET,REQ-SET-066,docs/game_gdd.md,419,"The system shall maintain separate forage stocks, regrowth, availability, and protection floors for all five patch types.",task03,,NOT_ASSESSED
REQ-SET,REQ-SET-067,docs/game_gdd.md,420,"While a forage zone has danger 2 or 3, the system shall require the resident's dangerous-work permission and show an exposure warning.",task03,task04;task08;task10,NOT_ASSESSED
REQ-SET,REQ-SET-068,docs/game_gdd.md,421,"When a forager completes 60 WU in danger≥1, the system shall roll injury chance `max(1,8*danger−FORAGE_level)` per 10000, causing 10 health loss and severity 1 injury on success.",task03,task05;task08,NOT_ASSESSED
REQ-SET,REQ-SET-069,docs/game_gdd.md,422,"If a forage quota or storage limit is reached, then the system shall stop new reservations and retain already collected cargo for hauling.",task03,task05;task06,NOT_ASSESSED
REQ-SET,REQ-SET-070,docs/game_gdd.md,455,"The system shall validate field connectivity, crop soil, seed supply, planting window, and output capacity before creating sowing jobs.",task03,task04;task06,NOT_ASSESSED
