id,topic,owner,acceptance,requirement
UXV-001,Scope,UI registry/04.4,A01,Render only the task-04.4 surfaces and their required child templates; the 103-entry registry shall never be expanded wholesale into disabled onscreen panels.
UXV-002,Visibility,UI gates/REQ-UX-001,A02,"Evaluate visibility before availability. Hidden gates create no Control, focus stop, accessibility node or input rectangle."
UXV-003,Availability,UXV §3,A02,"Distinguish READY, GAMEPLAY_LOCKED, DEVELOPMENT_UNAVAILABLE and DATA_UNAVAILABLE using the precise rules and copy table in this amendment."
UXV-004,Ownership,UI-SET-031/069/087,A03,Residents shall open the resident roster; F6/access mode alone opens World access. Workspace switching shall remove all outgoing child surfaces and stale focus targets.
UXV-005,Workspace,UI-SET-051,A03,Use the explicit WORKSPACE and MODAL variants; ordinary selection shall never open a center workspace or opaque empty scaffolding.
UXV-006,Theme,UI §2 + UXV §2,A04,Use a single theme with explicit FOREST and JOURNAL variations and only declared tokens; no per-screen palette or fallback Godot controls.
UXV-007,Type,UI §2 + UXV §2,A04,"Vendor the specified Noto fonts with licenses; use Serif only for 20/28 px titles, Sans for values, controls and body; never shrink below each role minimum."
UXV-008,Contrast,UXV §2,A04,Every actual text/background state shall reach 4.5:1 and functional icon/border/focus contrast 3:1; disabled text is not opacity-dimmed.
UXV-009,Focus,UI §2/3,A05,"Draw one current keyboard focus outline in addition to selection: GOLD on FOREST, INK on JOURNAL. Remove stale outlines immediately on focus exit or hiding."
UXV-010,State styles,UI §2/UXV §2,A04,"Implement default, hover, pressed, disabled, selected, focused, selected-focused and disabled-selected; selected state includes a check and correct accessibility state."
UXV-011,Ornament,DEC-018/019,A06,"Use original botanical rules, a restrained binding edge and species emblems as specified; decoration shall not overlap text/controls or receive input/accessibility focus."
UXV-012,Icons,DEC-019/UI §2,A06,"Deliver the scoped icon/emblem manifest, optical sizes and license/source hashes. No emoji, missing-glyph squares or unrelated stock icon styles are accepted."
UXV-013,HUD geometry,UI §1.2/UXV §4,A07,Compute S once from the actual physical viewport and lay out in W/S by H/S. Keep the six HUD zones and amended content-sized detail/command rectangles.
UXV-014,Narrow behavior,UI-SET-036/096,A08,"Narrow detail starts closed on selection, opens only through its drawer action, and leaves commands at least 240 logical pixels wide; overflow stays reachable through 096."
UXV-015,Input mapping,UI §1/3/5,A05,"Scale fonts, geometry and actual hit rectangles together; outside visible controls, pointer/trackpad/world selection remains usable at each profile and DPI."
UXV-016,Resource hierarchy,UI-SET-001–009,A09,"Each resource counter shall pair a concise label, exact formatted value and explicit unit. Ready food and potential food stay distinct; undefined is not zero."
UXV-017,Pause/time,UI-SET-013–019/086/101,A10,"Show actual effective pause reasons in player wording, requested speed separately and current date. Use actual pause/menu/calendar glyphs, not unsupported Unicode stand-ins."
