id,label,object,view,state,silhouette_24px,pigments,reuse_art_from
RES-FOOD,Ready food,"One shallow olive ceramic bowl, filled with vegetable stew; two cream root pieces and one green leaf; no spoon, lid, basket or loaf.","Front,30° elevation; bowl rim horizontal.","Full, served; no steam or motion.",Wide elliptical rim over a single rounded bowl body.,I06 bowl; I10 broth/roots; I03 pale chunks; I09 underside.,
RES-FUEL,Fuel,"One upright three-tongue flame over two small dark ember stones; no timber, candle, brazier or stove.","Frontal graphic, no perspective tilt.","Burning symbol; no smoke, rays or external glow.",Single pointed flame/teardrop mass; ember base subordinate.,I10 outer flame; I11 middle; I04 small core; I02 embers.,
RES-WOOD,Wood,Three cut logs stacked two below and one above; visible circular cut ends and bark.,"Front-right three-quarter,30° elevation; length axes recede upper-right at35° above screen horizontal.","Dry unburnt stack; no leaf, ember or flame.",Three circular ends in a triangle joined to one compact stack.,I08 cut ends; I09 bark; I03 narrow ring highlights.,
RES-STONE,Stone,"Three rough angular gray stones: one large rear peak, two smaller front pieces.","Front,25° elevation.","Dry raw stones, no ore crystal, gem or metal glint.",One jagged peaked mound; no circles or log rings.,I12 faces; I02/I09 shadow; I03 small edge planes.,
RES-POP,Population,"Exactly three upper-chest busts: mouse center/front, mole screen-left/rear, otter screen-right/rear; no hats or props.","Frontal group, eye-level.",Neutral attentive group; same plain green tunics; no age/sex/faction coding.,"Three staggered head masses, center mouse ears above the other two.",I08 mouse; I12 mole; I09 otter; I06 clothing; I03 small muzzle highlights.,
RES-BEDS,Beds,"One single low wooden bed with four posts, cream pillow at rear-left and a folded moss-green blanket; no canopy, bunk or row.","Three-quarter from foot/right side,30° elevation; head recedes upper-left.","Made and empty; no sleeper, occupancy marker or warmth glow.",Horizontal mattress rectangle with two prominent end posts.,I08 frame; I09 legs; I03 pillow/sheet; I06 blanket.,
CMD-BUILD,Build,"One wooden carpenter mallet: rectangular head and straight handle; no nail, anvil or crossed tool.","Side-on; handle runs lower-left to upper-right,45° above horizontal; head perpendicular.",Clean serviceable mallet at rest.,Unbroken T silhouette.,I08 head/handle; I09 end grain; I03 small lit edge.,
CMD-ZONE,Zone,"Four short wooden survey stakes joined by one slack rope boundary into an empty square; no crops, building or fill.","Oblique top view,45° elevation; projected square is a diamond.","One closed marked boundary, no active selection check.",Hollow four-corner diamond loop.,I08 stakes; I03 rope with I01 contour; empty transparent center.,
CMD-WORK,Work,"One hand spade and one wooden mallet crossed, spade blade upper-left, mallet head upper-right.","Front, tool plane parallel to picture plane; handles at opposing45° diagonals.","Tools at rest; no sparks, person or progress state.",X silhouette with one broad spade lobe and one T head.,I12 blade; I08 handles/head; I09 grip shadows.,
CMD-FOOD,Food,Exactly the RES-FOOD bowl artwork.,Identical to RES-FOOD.,Identical; button state drawn separately.,Identical bowl silhouette.,Identical to RES-FOOD.,RES-FOOD
CMD-PEOPLE,People,Exactly the RES-POP group artwork.,Identical to RES-POP.,Identical; no selected check baked into art.,Identical three-head group.,Identical to RES-POP.,RES-POP
CMD-GOALS,Goals,"One partly unfurled vertical oat parchment scroll with rolled top/bottom edges; blank surface, no lettering, seal, quill or check.","Frontal, top/bottom edges horizontal.",Open for reading; no completion indication.,Tall scroll rectangle with curled top and bottom.,I03 paper; I09 roll recess; I04 lit edge.,
MED-MOUSE,Mouse medallion,"Natural mouse with two large round ears, pointed muzzle and fine whiskers; plain shared tunic.","Eye-level,30° three-quarter toward screen-left; head-and-shoulders.",Neutral attentive; clothed; common roundel/overlay.,At24px diagnostic: two large round ears plus protruding fine muzzle.,I08 fur; I03 muzzle; I10 inner ear; I06 tunic.,
MED-MOLE,Mole medallion,"Natural mole with low rounded head, broad projecting nose, tiny eyes and no prominent external ears; plain shared tunic.","Eye-level,30° three-quarter toward screen-left; head-and-shoulders.","Neutral attentive; clothed; no shovel, hat or spectacles; common roundel.",At24px diagnostic: low earless dome and broad blunt nose.,I12/I09 fur; I03 muzzle highlight; I10 small nose; I06 tunic.,
MED-OTTER,Otter medallion,"River otter with broad whisker pads, small round ears, strong tapered neck and cream throat; plain shared tunic.","Eye-level,30° three-quarter toward screen-left; head-and-shoulders.",Neutral attentive; clothed; no sailor scarf or profession prop; common roundel.,At24px diagnostic: broad double-lobed muzzle and small low ears.,I09 fur; I08 lit face; I03 throat/pads; I06 tunic.,
MED-SQUIRREL,Squirrel medallion,"Natural squirrel with upright tufted ears, pointed muzzle and one bushy tail arc behind screen-right shoulder; plain shared tunic.","Eye-level,30° three-quarter toward screen-left; head-and-shoulders.","Neutral attentive; clothed; tail rests, no nut or weapon; common roundel.",At24px diagnostic: pointed/tufted ears and a broad tail crescent.,I08 fur; I10 warm fur accents; I03 muzzle; I09 tail shade; I06 tunic.,
